generation,loss_actor_avg,loss_actor_min,loss_actor_max,loss_critic_avg,loss_critic_min,loss_critic_max,loss_diffusion_avg,loss_diffusion_min,loss_diffusion_max,loss_dispersive_avg,loss_dispersive_min,loss_dispersive_max,adv_weight_std_avg,adv_weight_std_min,adv_weight_std_max,raw_adv_mean_avg,raw_adv_mean_min,raw_adv_mean_max,raw_adv_pos_frac_avg,raw_adv_pos_frac_min,raw_adv_pos_frac_max,actor_grad_norm_avg,actor_grad_norm_min,actor_grad_norm_max,critic_grad_norm_avg,critic_grad_norm_min,critic_grad_norm_max,approx_kl_avg,approx_kl_min,approx_kl_max,actor_skips_avg,actor_skips_min,actor_skips_max,clipfrac_avg,clipfrac_min,clipfrac_max,actor_early_stops_avg,actor_early_stops_min,actor_early_stops_max,collisions_avg,collisions_min,collisions_max,reward_avg,reward_min,reward_max,avg_speed_avg,avg_speed_min,avg_speed_max,dist_per_collision_avg,dist_per_collision_min,dist_per_collision_max,laps_per_collision_avg,laps_per_collision_min,laps_per_collision_max,speed_ratio_avg,speed_ratio_min,speed_ratio_max,progress_score_avg,progress_score_min,progress_score_max,action_velocity_mean_avg,action_velocity_mean_min,action_velocity_mean_max,action_velocity_min_avg,action_velocity_min_min,action_velocity_min_max,action_steer_abs_mean_avg,action_steer_abs_mean_min,action_steer_abs_mean_max,focus_map,map_type,difficulty,raceline_length,map_dpc_ema,progress_per_step,checkpoint_per_step,wall_col_per_step,agent_col_per_step,lap_per_step,steer_rate_per_step,steer_abs_per_step,speed_bonus_per_step
11,-0.008902083895009127,-0.28444236516952515,0.21506191790103912,0.2222855524159968,0.07598800957202911,0.4469457268714905,0.08891339413821697,0.06795543432235718,0.11999807506799698,-1.0942068994045258,-1.097720742225647,-1.0893495082855225,0.048297469154931605,0.0,0.07127462327480316,0.33118298277258873,-0.6950563788414001,1.7142283916473389,0.7800449281930923,0.7193989157676697,0.9153635501861572,23.849980294704437,6.68100643157959,49.14318084716797,0.6845347285270691,0.4394115209579468,0.9933980703353882,0.03664511302486062,0.0,0.052839361131191254,0.0,0.0,0.0,0.06384152197279036,0.0,0.08111990988254547,0.0,0.0,0.0,4.0,4.0,4.0,0.04745468037049871,0.04745468037049871,0.04745468037049871,6.692087173461914,5.805057048797607,7.644038677215576,93.28163146972656,93.28163146972656,93.28163146972656,0.24155329167842865,0.24155329167842865,0.24155329167842865,0.9002039432525635,0.9002039432525635,0.9002039432525635,0.2174472256745581,0.2174472256745581,0.2174472256745581,8.883238792419434,8.883238792419434,8.883238792419434,4.530270099639893,4.530270099639893,4.530270099639893,0.0713159590959549,0.0713159590959549,0.0713159590959549,Zandvoort,real,1.3862031003381545,351.0570822341889,63.00598813310977,0.08508858695137354,0.0037333333333333324,-0.05688888888888894,-0.0010666666666666665,0.0,-0.007286542138788442,0.0,0.023874857780135934
12,-0.020019370538648218,-0.04914617910981178,0.030784128233790398,0.2291664620861411,0.16950391232967377,0.30786260962486267,0.08598463376984,0.06020048260688782,0.10554265975952148,-1.096517875790596,-1.098292350769043,-1.093159556388855,0.053834399790503085,0.0,0.10239090025424957,1.4793244898319244,1.3972744941711426,1.526890516281128,0.8563821762800217,0.8216135501861572,0.8782535195350647,35.757871866226196,17.57939910888672,62.02571105957031,2.550786856561899,0.4948747158050537,5.502443313598633,0.042033151374198496,0.0,0.06780527532100677,0.0,0.0,0.0,0.06842053076252341,0.0,0.08867205679416656,0.0,0.0,0.0,6.0,6.0,6.0,0.09552527743585967,0.09552527743585967,0.09552527743585967,6.383854150772095,6.1129889488220215,6.705153942108154,59.5707041422526,59.5707041422526,59.5707041422526,0.165964404741923,0.165964404741923,0.165964404741923,0.8480911254882812,0.8480911254882812,0.8480911254882812,0.14075293880857012,0.14075293880857012,0.14075293880857012,8.103261947631836,8.103261947631836,8.103261947631836,4.458578109741211,4.458578109741211,4.458578109741211,0.0602567158639431,0.0602567158639431,0.0602567158639431,Zandvoort,real,1.3862031003381545,351.0570822341889,62.01193232286735,0.08799253858952369,0.004266666666666665,-0.010666666666666666,0.0,0.0,-0.007363268321090276,0.0,0.02129600716742648
13,-0.03696977213257924,-0.24270620942115784,0.3509395718574524,0.17704427475109696,0.039415664970874786,0.35495448112487793,0.08610153920017183,0.056328799575567245,0.11844214797019958,-1.0949367135763168,-1.0983792543411255,-1.0918155908584595,0.05289522581733763,0.0,0.08135206252336502,0.424315482378006,-2.1186952590942383,1.836995244026184,0.831145167350769,0.7421889305114746,0.8710939884185791,37.70282623171806,7.063501834869385,108.66060638427734,0.6803070865571499,0.45818454027175903,0.8850887417793274,0.04291441768873483,0.0,0.06506538391113281,0.0,0.0,0.0,0.06700014462694526,0.0,0.08619801700115204,0.0,0.0,0.0,6.0,6.0,6.0,0.046440579943997855,0.046440579943997855,0.046440579943997855,6.871250033378601,5.830913066864014,7.437901973724365,64.23936971028645,64.23936971028645,64.23936971028645,0.18113809823989868,0.18113809823989868,0.18113809823989868,0.9481930732727051,0.9481930732727051,0.9481930732727051,0.1717538900568627,0.1717538900568627,0.1717538900568627,8.84289836883545,8.84289836883545,8.84289836883545,4.507336616516113,4.507336616516113,4.507336616516113,0.06467952579259872,0.06467952579259872,0.06467952579259872,Zandvoort,real,1.7914934112214078,308.97024505535984,62.70669856021945,0.09558114626833893,0.003555555555555555,-0.06933333333333341,-0.000711111111111111,0.0,-0.007535847981770818,0.0,0.024884170546318623
14,-0.04550572903826833,-0.29600247740745544,0.38076159358024597,0.17253355542197824,0.048803213983774185,0.32797691226005554,0.09429826587438583,0.06483956426382065,0.11797083914279938,-1.0954867377877235,-1.0982621908187866,-1.0900983810424805,0.06530080840457231,0.0,0.11943762749433517,1.3181731775403023,-0.34773072600364685,2.3435113430023193,0.8500258475542068,0.7057294249534607,0.918618381023407,31.795506954193115,11.813695907592773,63.926475524902344,1.3273923471570015,0.40310579538345337,2.5394716262817383,0.04780543432570994,0.0,0.0811704471707344,0.0,0.0,0.0,0.07193835452198982,0.0,0.10117211192846298,0.0,0.0,0.0,7.0,7.0,7.0,0.08823025739707008,0.08823025739707008,0.08823025739707008,7.244251847267151,6.083714485168457,9.114067077636719,56.82639857700893,56.82639857700893,56.82639857700893,0.15864370550428117,0.15864370550428117,0.15864370550428117,0.9457758665084839,0.9457758665084839,0.9457758665084839,0.15004138803942826,0.15004138803942826,0.15004138803942826,8.774833679199219,8.774833679199219,8.774833679199219,4.254221439361572,4.254221439361572,4.254221439361572,0.060201726853847504,0.060201726853847504,0.060201726853847504,Zandvoort,real,1.3862031003381545,351.0570822341889,60.97407543554045,0.09701935517675365,0.004444444444444443,-0.03022222222222221,0.0,0.0,-0.007997224467330498,0.0,0.024985904465424764
15,-0.024765961221419275,-0.25730425119400024,0.38396576046943665,0.16733466740697622,0.02605147287249565,0.3951326310634613,0.0845116158016026,0.05716145038604736,0.1161743700504303,-1.096840225160122,-1.0984041690826416,-1.094849944114685,0.06883918400853872,0.0,0.1234210953116417,0.1718485876917839,-2.372596263885498,1.6497974395751953,0.8331394493579865,0.7480455040931702,0.9029932618141174,41.284499168395996,9.573647499084473,163.05892944335938,0.6225780099630356,0.37472453713417053,0.9087815284729004,0.05098108190577477,0.0,0.08626653999090195,0.0,0.0,0.0,0.07637245208024979,0.0,0.09817724674940109,0.0,0.0,0.0,2.0,2.0,2.0,0.041981583166508116,0.041981583166508116,0.041981583166508116,6.311546802520752,5.196022033691406,6.93272590637207,175.90028381347656,175.90028381347656,175.90028381347656,0.49081331491470337,0.49081331491470337,0.49081331491470337,0.8344969749450684,0.8344969749450684,0.8344969749450684,0.40958222655908116,0.40958222655908116,0.40958222655908116,7.7641401290893555,7.7641401290893555,7.7641401290893555,4.03788948059082,4.03788948059082,4.03788948059082,0.0777515321969986,0.0777515321969986,0.0777515321969986,Zandvoort,real,1.3862031003381545,351.0570822341889,95.56054469603949,0.08637125751539901,0.003555555555555555,-0.05955555555555561,-0.0010666666666666665,0.0,-0.00724306817187204,0.0,0.019920060489647912
16,-0.00671106264780974,-0.24504776298999786,0.13991843163967133,0.1518338853493333,0.03304126858711243,0.21837139129638672,0.0930535621009767,0.07166590541601181,0.11103969067335129,-1.097241647541523,-1.0980236530303955,-1.0951311588287354,0.07256380282342434,0.0,0.13358630239963531,-0.021863769739866257,-0.7776080369949341,1.250159740447998,0.7433051466941833,0.6066867709159851,0.8743472695350647,61.88886296749115,8.966373443603516,190.90435791015625,0.7575603816658258,0.3762059807777405,1.230324149131775,0.05660606955643743,0.0,0.1000484749674797,0.0,0.0,0.0,0.07694876869209111,0.0,0.11458354443311691,0.0,0.0,0.0,10.0,10.0,10.0,0.04306241555248657,0.04306241555248657,0.04306241555248657,6.655300974845886,5.630141258239746,7.516358375549316,36.98917846679687,36.98917846679687,36.98917846679687,0.08791841268539428,0.08791841268539428,0.08791841268539428,0.8649160861968994,0.8649160861968994,0.8649160861968994,0.07604204940449506,0.07604204940449506,0.07604204940449506,8.665307998657227,8.665307998657227,8.665307998657227,3.518421173095703,3.518421173095703,3.518421173095703,0.06459160894155502,0.06459160894155502,0.06459160894155502,Zandvoort,real,1.3265856448292062,446.2014503219724,78.00594468585768,0.07753883741139306,0.004799999999999999,-0.05511111111111115,-0.0003555555555555555,0.0,-0.007742662372854023,0.0,0.023932907180614253
17,nan,nan,nan,0.1167178776115179,0.055724453181028366,0.20718002319335938,0.09135441333055497,0.06034459173679352,0.11894749104976654,-1.0972150564193726,-1.0982723236083984,-1.093948245048523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Silverstone,real,1.7914934112214078,308.97024505535984,53.22111078282723,0.09073837063175952,0.0035874439461883395,-0.020179372197309413,0.0,0.0,-0.008092306495291945,0.0,0.025375956973954592
18,nan,nan,nan,0.12175046289339661,0.018624968826770782,0.30443692207336426,0.09659012220799923,0.07361529767513275,0.12135886400938034,-1.0969458878040315,-1.0983532667160034,-1.092854619026184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Silverstone,real,1.5624239684105201,334.33199339910186,54.156060684337334,0.08109349741563096,0.0035874439461883395,-0.05231689088191336,-0.0008968609865470852,0.0,-0.00805032957562416,0.0,0.0230083355394716
19,nan,nan,nan,0.08679135143756866,0.035391706973314285,0.16616185009479523,0.09184222798794509,0.056847747415304184,0.11795450001955032,-1.0968056499958039,-1.0978672504425049,-1.095133662223816,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Silverstone,real,1.1289627462586858,464.65523539642516,67.42399129845916,0.08550575416491457,0.0035874439461883395,-0.010463378176382663,-0.003587443946188339,0.0,-0.009048371549322637,0.0,0.02558085043316142
20,nan,nan,nan,0.1418731791898608,0.04853253439068794,0.2744637727737427,0.08544784560799598,0.0569259338080883,0.11562217772006989,-1.0955873608589173,-1.0983877182006836,-1.089479684829712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Silverstone,real,1.5609989464187626,375.78393849094454,71.66177933356808,0.0866343043072057,0.00373692077727952,-0.04110612855007476,0.0,0.0,-0.00752227274514455,0.0,0.02635905052895349
